"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"landslide.nlogo"
"TreeExperiment"
"08/05/2025 19:53:11:124 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","1","1","2","2","2","2","2","3","3","3","3","3","4","4","4","4","4","5","5","5","5","5","6","6","6","6","6","7","7","7","7","7","8","8","8","8","8","9","9","9","9","9","10","10","10","10","10","11","11","11","11","11","12","12","12","12","12","13","13","13","13","13","14","14","14","14","14","15","15","15","15","15","16","16","16","16","16","17","17","17","17","17","18","18","18","18","18","19","19","19","19","19","20","20","20","20","20","21","21","21","21","21","22","22","22","22","22","23","23","23","23","23","24","24","24","24","24","25","25","25","25","25","26","26","26","26","26"
"rainfallDuration","200",,,,,"200",,,,,"200",,,,,"200",,,,,"200",,,,,"200",,,,,"200",,,,,"200",,,,,"200",,,,,"200",,,,,"200",,,,,"200",,,,,"200",,,,,"200",,,,,"200",,,,,"200",,,,,"200",,,,,"200",,,,,"200",,,,,"200",,,,,"200",,,,,"200",,,,,"200",,,,,"200",,,,,"200",,,,,"200",,,,
"landslide-threshold","-2.5",,,,,"-2.5",,,,,"-2.5",,,,,"-2.5",,,,,"-2.5",,,,,"-2.5",,,,,"-2.5",,,,,"-2.5",,,,,"-2.5",,,,,"-2.5",,,,,"-2.5",,,,,"-2.5",,,,,"-2.5",,,,,"-2.5",,,,,"-2.5",,,,,"-2.5",,,,,"-2.5",,,,,"-2.5",,,,,"-2.5",,,,,"-2.5",,,,,"-2.5",,,,,"-2.5",,,,,"-2.5",,,,,"-2.5",,,,,"-2.5",,,,,"-2.5",,,,
"rainfall-rate","0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,
"sediment-flow-rate","0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,,"0.5",,,,
"number-of-trees","0",,,,,"10",,,,,"20",,,,,"30",,,,,"40",,,,,"50",,,,,"60",,,,,"70",,,,,"80",,,,,"90",,,,,"100",,,,,"110",,,,,"120",,,,,"130",,,,,"140",,,,,"150",,,,,"160",,,,,"170",,,,,"180",,,,,"190",,,,,"200",,,,,"210",,,,,"220",,,,,"230",,,,,"240",,,,,"250",,,,
"[reporter]","[step]","total-landslides","total-sediment","total-rainfall","total-trees","[step]","total-landslides","total-sediment","total-rainfall","total-trees","[step]","total-landslides","total-sediment","total-rainfall","total-trees","[step]","total-landslides","total-sediment","total-rainfall","total-trees","[step]","total-landslides","total-sediment","total-rainfall","total-trees","[step]","total-landslides","total-sediment","total-rainfall","total-trees","[step]","total-landslides","total-sediment","total-rainfall","total-trees","[step]","total-landslides","total-sediment","total-rainfall","total-trees","[step]","total-landslides","total-sediment","total-rainfall","total-trees","[step]","total-landslides","total-sediment","total-rainfall","total-trees","[step]","total-landslides","total-sediment","total-rainfall","total-trees","[step]","total-landslides","total-sediment","total-rainfall","total-trees","[step]","total-landslides","total-sediment","total-rainfall","total-trees","[step]","total-landslides","total-sediment","total-rainfall","total-trees","[step]","total-landslides","total-sediment","total-rainfall","total-trees","[step]","total-landslides","total-sediment","total-rainfall","total-trees","[step]","total-landslides","total-sediment","total-rainfall","total-trees","[step]","total-landslides","total-sediment","total-rainfall","total-trees","[step]","total-landslides","total-sediment","total-rainfall","total-trees","[step]","total-landslides","total-sediment","total-rainfall","total-trees","[step]","total-landslides","total-sediment","total-rainfall","total-trees","[step]","total-landslides","total-sediment","total-rainfall","total-trees","[step]","total-landslides","total-sediment","total-rainfall","total-trees","[step]","total-landslides","total-sediment","total-rainfall","total-trees","[step]","total-landslides","total-sediment","total-rainfall","total-trees","[step]","total-landslides","total-sediment","total-rainfall","total-trees"
"[final]","15","1088","5440","4.5","0","200","1082","5410","59.99999999999961","7","200","1073","5365","59.99999999999961","16","200","1058","5290","59.99999999999961","28","200","1050","5250","59.99999999999961","37","200","1048","5240","59.99999999999961","40","200","1044","5220","59.99999999999961","46","200","1033","5165","59.99999999999961","56","200","1029","5145","59.99999999999961","64","200","1016","5080","59.99999999999961","72","200","1006","5030","59.99999999999961","79","200","994","4970","59.99999999999961","94","200","985","4925","59.99999999999961","95","200","989","4945","59.99999999999961","98","200","979","4895","59.99999999999961","112","200","970","4850","59.99999999999961","117","200","968","4840","59.99999999999961","125","200","957","4785","59.99999999999961","133","200","950","4750","59.99999999999961","148","200","942","4710","59.99999999999961","152","200","940","4700","59.99999999999961","156","200","925","4625","59.99999999999961","171","200","917","4585","59.99999999999961","175","200","924","4620","59.99999999999961","174","200","915","4575","59.99999999999961","185","200","907","4535","59.99999999999961","199"
"[min]","0","0","0","0","0","0","0","0","0","7","0","0","0","0","16","0","0","0","0","28","0","0","0","0","37","0","0","0","0","40","0","0","0","0","46","0","0","0","0","56","0","0","0","0","64","0","0","0","0","72","0","0","0","0","79","0","0","0","0","94","0","0","0","0","95","0","0","0","0","98","0","0","0","0","112","0","0","0","0","117","0","0","0","0","125","0","0","0","0","133","0","0","0","0","148","0","0","0","0","152","0","0","0","0","156","0","0","0","0","171","0","0","0","0","175","0","0","0","0","174","0","0","0","0","185","0","0","0","0","199"
"[max]","15","1088","5440","4.5","0","200","1082","5410","59.99999999999961","10","200","1073","5365","59.99999999999961","20","200","1058","5290","59.99999999999961","30","200","1050","5250","59.99999999999961","40","200","1048","5240","59.99999999999961","50","200","1044","5220","59.99999999999961","60","200","1033","5165","59.99999999999961","70","200","1029","5145","59.99999999999961","80","200","1016","5080","59.99999999999961","90","200","1006","5030","59.99999999999961","100","200","994","4970","59.99999999999961","110","200","985","4925","59.99999999999961","120","200","989","4945","59.99999999999961","130","200","979","4895","59.99999999999961","140","200","970","4850","59.99999999999961","150","200","968","4840","59.99999999999961","160","200","957","4785","59.99999999999961","170","200","950","4750","59.99999999999961","180","200","942","4710","59.99999999999961","190","200","940","4700","59.99999999999961","200","200","925","4625","59.99999999999961","210","200","917","4585","59.99999999999961","220","200","924","4620","59.99999999999961","230","200","915","4575","59.99999999999961","240","200","907","4535","59.99999999999961","250"
