Tick 42, has-tree?: 0, landslide at (13, -8), slope -17.98
Tick 42, has-tree?: 0, landslide at (6, -3), slope -3.66
Tick 42, has-tree?: 0, landslide at (-10, 5), slope -4.81
Tick 42, has-tree?: 0, landslide at (5, -15), slope -5.42
Tick 42, has-tree?: 0, landslide at (1, -8), slope -13.91
Tick 42, has-tree?: 0, landslide at (-6, -5), slope -6.41
Tick 42, has-tree?: 0, landslide at (-6, -12), slope -9.16
Tick 42, has-tree?: 0, landslide at (4, 15), slope -13.66
Tick 42, has-tree?: 0, landslide at (5, 10), slope -9.31
Tick 42, has-tree?: 0, landslide at (-6, -4), slope -3.37
Tick 42, has-tree?: 0, landslide at (5, -3), slope -11.84
Tick 42, has-tree?: 0, landslide at (14, -15), slope -13.82
Tick 42, has-tree?: 0, landslide at (14, 9), slope -17.86
Tick 42, has-tree?: 0, landslide at (7, -9), slope -8.29
Tick 42, has-tree?: 0, landslide at (10, 7), slope -12.69
Tick 42, has-tree?: 0, landslide at (4, -2), slope -14.07
Tick 42, has-tree?: 0, landslide at (-11, 5), slope -20.42
Tick 42, has-tree?: 0, landslide at (1, 13), slope -8.07
Tick 42, has-tree?: 0, landslide at (1, 6), slope -5.51
Tick 42, has-tree?: 0, landslide at (-9, -2), slope -3.1
Tick 42, has-tree?: 0, landslide at (-8, -10), slope -3.39
Tick 42, has-tree?: 0, landslide at (-7, -10), slope -9.38
Tick 42, has-tree?: 0, landslide at (-12, 12), slope -5.83
Tick 42, has-tree?: 0, landslide at (6, -14), slope -4.92
Tick 42, has-tree?: 0, landslide at (15, 0), slope -4.54
Tick 42, has-tree?: 0, landslide at (0, 10), slope -17.38
Tick 42, has-tree?: 0, landslide at (12, -16), slope -6.86
Tick 42, has-tree?: 0, landslide at (-4, -4), slope -7.39
Tick 42, has-tree?: 0, landslide at (16, 0), slope -13.16
Tick 42, has-tree?: 0, landslide at (1, 10), slope -3.36
Tick 42, has-tree?: 0, landslide at (-13, 10), slope -16.13
Tick 42, has-tree?: 0, landslide at (-1, 14), slope -4.35
Tick 42, has-tree?: 0, landslide at (-15, 7), slope -10.05
Tick 42, has-tree?: 0, landslide at (7, -8), slope -5.68
Tick 42, has-tree?: 0, landslide at (-9, 4), slope -12.44
Tick 42, has-tree?: 0, landslide at (7, 2), slope -10.5
Tick 42, has-tree?: 0, landslide at (-14, -1), slope -3.75
Tick 42, has-tree?: 0, landslide at (-9, 2), slope -16.95
Tick 42, has-tree?: 0, landslide at (-16, -10), slope -8.95
